AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2016|Water Temperature|Bottom|Field|181|1.48|32.9|3.08|11.1947403314917|9.90173185547625|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2017|Water Temperature|Bottom|Field|174|1.76|29.1|19.7|14.6127413793103|11.1348326641553|95, 5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2018|Water Temperature|Bottom|Field|5|16|31.5|29.2|27.22|6.36490376989315|5014
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2019|Water Temperature|Bottom|Field|9|15.3|31|26.3|23.6333333333333|6.73999258159829|5014
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2020|Water Temperature|Bottom|Field|88|6.9|32.2|25.858|24.2168977272727|5.34020208847398|5002, 5014
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2021|Water Temperature|Bottom|Field|104|13.592|30.2|22.5|22.1555|5.15747875673895|5002, 5014
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2022|Water Temperature|Bottom|Field|2|15.8|16.1|15.95|15.95|0.212132034355965|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1991|Water Temperature|Bottom|Field|20|13.5|27|22.25|22.1|3.91891499484769|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1992|Water Temperature|Bottom|Field|27|13|32|21|21.3888888888889|5.90034766468066|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1993|Water Temperature|Bottom|Field|4|16.5|26.5|22.25|21.875|4.11045415171284|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1994|Water Temperature|Bottom|Field|59|15|33|26|25.2796610169492|3.91397935174266|115, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1995|Water Temperature|Bottom|Field|366|11|33.1|23.4|23.3336065573771|5.41384745050888|115, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1996|Water Temperature|Bottom|Field|568|5.5|34.6|23.45|22.3744718309859|5.93410015875115|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1997|Water Temperature|Bottom|Field|530|12|37|25.1|24.679679245283|4.48674393780864|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1998|Water Temperature|Bottom|Field|543|14|33.89|26.4|25.0720073664825|4.91642692533132|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1999|Water Temperature|Bottom|Field|631|10|31.8|24.6|24.2155150554675|4.44926307570551|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2000|Water Temperature|Bottom|Field|593|11.1|31|22.6|23.230370994941|4.88378220013408|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2001|Water Temperature|Bottom|Field|625|10.4|32.5|25.4|25.002192|4.36581154103047|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2002|Water Temperature|Bottom|Field|598|11.3|32.5|26.2|25.331889632107|4.00375551605672|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2003|Water Temperature|Bottom|Field|606|6.8|34.26|26|24.7370627062706|4.4743907053912|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2004|Water Temperature|Bottom|Field|663|2|34|25.41|24.4527149321267|4.65827472716233|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2005|Water Temperature|Bottom|Field|462|13.77|33.08|24.285|24.4960822510823|4.2127797534828|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2006|Water Temperature|Bottom|Field|381|15.57|32.58|26.17|24.9886351706037|4.36599481950193|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2007|Water Temperature|Bottom|Field|504|15.87|33.08|25.59|25.7259126984127|3.80733115674154|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2008|Water Temperature|Bottom|Field|470|13.21|37.36|24.935|24.7381914893617|4.07454403449677|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2009|Water Temperature|Bottom|Field|448|14.48|31.9|26.405|25.3838169642857|4.24633316562038|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2010|Water Temperature|Bottom|Field|390|8.35|33.06|25.78|24.488717948718|5.60140749824307|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2011|Water Temperature|Bottom|Field|413|13.75|31.9|26.3|25.6846973365617|3.84328423444275|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2012|Water Temperature|Bottom|Field|232|8.6|32.23|26.95|26.7453879310345|3.09816002166668|3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2013|Water Temperature|Bottom|Field|240|15.84|31.4|25.2|24.3099583333333|4.18609278463867|3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2014|Water Temperature|Bottom|Field|213|1.64|31.191|2.86|9.20244131455399|10.4927022682066|3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2015|Water Temperature|Bottom|Field|244|1.77|31.607|2.785|8.70068852459017|10.526925206234|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2016|Water Temperature|Bottom|Field|229|1.36|32.08|2.84|9.36193886462882|10.9223786796907|3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2017|Water Temperature|Bottom|Field|288|1.65|31.91|25.05|19.82240625|10.9113277049066|95, 3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2018|Water Temperature|Bottom|Field|34|16|32.793|25|24.3347647058824|4.32934805826763|95, 3013
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2019|Water Temperature|Bottom|Field|8|15.682|29.557|28.044|23.9925|6.17860455812753|3013
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2020|Water Temperature|Bottom|Field|38|18.3|31.483|27.891|27.3652105263158|2.71990847578424|3013, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2021|Water Temperature|Bottom|Field|40|17.9|32.5|26.8815|25.5367|4.89404308343971|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1995|Water Temperature|Bottom|Field|90|7.1|30.8|22|19.5577777777778|7.20661334505457|115, 5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1996|Water Temperature|Bottom|Field|135|12.1|30.3|25.3|22.882962962963|5.5471727468768|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1997|Water Temperature|Bottom|Field|117|18.23|31.01|25.5|24.9990598290598|3.56243233036904|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1998|Water Temperature|Bottom|Field|129|17.3|32.1|28.4|26.1805426356589|4.54634491069432|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|1999|Water Temperature|Bottom|Field|182|16.13|31.63|23|24.888021978022|3.54817413780968|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2000|Water Temperature|Bottom|Field|189|15.9|30.77|23.1|23.8139153439153|3.90565009616149|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2001|Water Temperature|Bottom|Field|155|14.2|33.1|24.8|25.2796129032258|4.14274171776279|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2002|Water Temperature|Bottom|Field|125|16|32.6|26.66|25.91968|3.53337701393166|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2003|Water Temperature|Bottom|Field|173|14|31.6|25.8|25.3278034682081|4.05869506274042|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2004|Water Temperature|Bottom|Field|86|16.78|31.83|26.175|25.3469767441861|3.79239519837124|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2005|Water Temperature|Bottom|Field|128|7.4|32.1|24.55|24.890546875|4.94403917061951|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2006|Water Temperature|Bottom|Field|81|17.1|30.4|25.8|24.0850617283951|4.26604680103746|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2007|Water Temperature|Bottom|Field|111|14.7|30.9|24.1|23.274954954955|5.12668151995454|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2008|Water Temperature|Bottom|Field|87|19|29.4|23.6|24.1005747126437|3.68208748816699|5002
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|2009|Water Temperature|Bottom|Field|43|16.75|32.04|27.8|25.8874418604651|4.24801639593243|5002
