AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
8|Boca Ciega Bay Aquatic Preserve|2011|Salinity|All|Lab|2|27|32.2|29.6|29.6|3.67695526217005|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2012|Salinity|All|Lab|2|34.02|34.1|34.06|34.06|0.0565685424949226|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
8|Boca Ciega Bay Aquatic Preserve|2013|Salinity|All|Lab|1|32.8|32.8|32.8|32.8||Fisheries-Independent Monitoring (FIM) Program|69
8|Boca Ciega Bay Aquatic Preserve|2015|Salinity|All|Lab|2|28.9|32.3|30.6|30.6|2.40416305603426|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2016|Salinity|All|Lab|3|28.15|33.68|31.89|31.24|2.82171933402314|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2017|Salinity|All|Lab|3|28.91|34.1|34.1|32.37|2.99644789709416|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
8|Boca Ciega Bay Aquatic Preserve|2020|Salinity|All|Lab|16|26.7|34.37|32.36|31.88|2.05135727426177|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2021|Salinity|All|Lab|21|28.39|35.65|33.71|33.2695238095238|2.06108096927432|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2022|Salinity|All|Lab|1|35.44|35.44|35.44|35.44||Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1995|Salinity|All|Lab|3|1.2|16.2|5.2|7.53333333333333|7.76745346515403|Lagoon Watch (Formerly Marine Discovery Center)|3001
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1996|Salinity|All|Lab|1|28|28|28|28||Lagoon Watch (Formerly Marine Discovery Center)|3001
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1997|Salinity|All|Lab|2|24|28.4|26.2|26.2|3.11126983722081|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1998|Salinity|All|Lab|1|25.5|25.5|25.5|25.5||Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|1999|Salinity|All|Lab|5|7.5|30.6|26.3|23.34|9.36231808902047|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|69, 3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2000|Salinity|All|Lab|4|1.6|35.6|9.65|14.125|14.9455400259297|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|69, 3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2001|Salinity|All|Lab|4|2.72|37.8|34.8|27.53|16.6075765841979|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|69, 3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2002|Salinity|All|Lab|2|14.4|15.99|15.195|15.195|1.12429978208661|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2003|Salinity|All|Lab|17|3.22|35.06|14.8|17.1929411764706|9.52330875057737|Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2004|Salinity|All|Lab|3|18.59|27.3|23.8|23.23|4.38288717628004|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2005|Salinity|All|Lab|12|7.26|34.4|22.27|22.1125|9.31470306460803|Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2006|Salinity|All|Lab|7|12.6|28.4|20.4|20.4714285714286|6.01296218894766|Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2007|Salinity|All|Lab|8|12.6|36.2|24.3|25.425|8.84061245454344|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Lagoon Watch (Formerly Marine Discovery Center)|69, 3001, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2008|Salinity|All|Lab|2|34.63|36.2|35.415|35.415|1.11015764646288|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2009|Salinity|All|Lab|4|10.57|39.88|34.645|29.935|13.14514992941|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2010|Salinity|All|Lab|14|2.25|34.66|23.08|23.0164285714286|10.4410790830059|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2011|Salinity|All|Lab|1|22.9|22.9|22.9|22.9||Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2012|Salinity|All|Lab|2|27.1|31.5|29.3|29.3|3.11126983722081|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2014|Salinity|All|Lab|1|27.5|27.5|27.5|27.5||Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2017|Salinity|All|Lab|4|14.6|33|17.6|20.7|8.35344240418284|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2018|Salinity|All|Lab|1|27|27|27|27||Harmful Algal Bloom Marine Observation Network|95
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2020|Salinity|All|Lab|5|19.89|35.04|32|30.092|5.87643344214839|Florida STORET / WIN|5002
21|Indian River-Malabar to Vero Beach Aquatic Preserve|2021|Salinity|All|Lab|2|18.94|28.07|23.505|23.505|6.45588491223318|Florida STORET / WIN|5002
35|Pinellas County Aquatic Preserve|1955|Salinity|All|Lab|2|36.38|37.07|36.725|36.725|0.487903679018716|Harmful Algal Bloom Marine Observation Network|95
35|Pinellas County Aquatic Preserve|1958|Salinity|All|Lab|4|31.46|32.66|31.685|31.8725|0.536865905045196|Harmful Algal Bloom Marine Observation Network|95
35|Pinellas County Aquatic Preserve|1959|Salinity|All|Lab|3|19.74|30.41|24.65|24.9333333333333|5.34063978689196|Harmful Algal Bloom Marine Observation Network|95
35|Pinellas County Aquatic Preserve|1960|Salinity|All|Lab|1|28.31|28.31|28.31|28.31||Harmful Algal Bloom Marine Observation Network|95
35|Pinellas County Aquatic Preserve|1995|Salinity|All|Lab|3|27|31.1|28.9|29|2.05182845286832|Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|95, 5002
35|Pinellas County Aquatic Preserve|1996|Salinity|All|Lab|2|17.8|36|26.9|26.9|12.8693434175952|Fisheries-Independent Monitoring (FIM) Program|69
35|Pinellas County Aquatic Preserve|1997|Salinity|All|Lab|3|27.8|35.2|28.7|30.5666666666667|4.03773864103824|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
35|Pinellas County Aquatic Preserve|1998|Salinity|All|Lab|1|17.4|17.4|17.4|17.4||Fisheries-Independent Monitoring (FIM) Program|69
35|Pinellas County Aquatic Preserve|1999|Salinity|All|Lab|3|0.03|30.43|23.2|17.8866666666667|15.8812352584216|Florida STORET / WIN|5002
35|Pinellas County Aquatic Preserve|2000|Salinity|All|Lab|5|27.97|34.9|32.9|31.924|2.8829030507459|Florida STORET / WIN|5002
35|Pinellas County Aquatic Preserve|2001|Salinity|All|Lab|12|23.31|34.2|31.5|30.8183333333333|2.87228712585169|Florida STORET / WIN|5002
35|Pinellas County Aquatic Preserve|2002|Salinity|All|Lab|13|0.21|35.2299995|0.56|15.3553845776923|16.9186354426689|Environmental Monitoring Assessment Program, Florida STORET / WIN|115, 5002
35|Pinellas County Aquatic Preserve|2003|Salinity|All|Lab|13|0.14|34.16|19.3|15.3715384615385|12.9850541303928|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
35|Pinellas County Aquatic Preserve|2004|Salinity|All|Lab|3|18.01|30.4|20.99|23.1333333333333|6.46710393710611|Florida STORET / WIN|5002
35|Pinellas County Aquatic Preserve|2005|Salinity|All|Lab|20|19.82|33.23|25.25|25.791|3.8295896440879|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 5002
35|Pinellas County Aquatic Preserve|2006|Salinity|All|Lab|21|18.5|35.3|26.9|27.3976190476191|4.14585805927061|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
35|Pinellas County Aquatic Preserve|2007|Salinity|All|Lab|8|23.7|34.7|30.5|30.5375|3.78453148638356|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
35|Pinellas County Aquatic Preserve|2008|Salinity|All|Lab|8|25.8|34.6|32.745|31.33|3.68261165091143|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 5002
