AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-07-02|Turbidity|Surface|Field|2007-02-28|2007-02-28|1|0.8|0.8|0.8|0.8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-07-07|Turbidity|Surface|Field|2007-09-24|2007-09-24|1|3.1|3.1|3.1|3.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-07-08|Turbidity|Surface|Field|2007-11-05|2007-11-05|1|0.7|0.7|0.7|0.7|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-07-09|Turbidity|Surface|Field|2007-12-26|2007-12-26|1|1|1|1|1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-08-01|Turbidity|Surface|Field|2008-02-05|2008-02-05|1|2.4|2.4|2.4|2.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-08-03|Turbidity|Surface|Field|2008-05-28|2008-05-28|1|2|2|2|2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-08-04|Turbidity|Surface|Field|2008-06-18|2008-06-18|1|3.3|3.3|3.3|3.3|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-08-08|Turbidity|Surface|Field|2008-12-08|2008-12-08|1|1.8|1.8|1.8|1.8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-09-02|Turbidity|Surface|Field|2009-03-25|2009-03-25|1|4.5|4.5|4.5|4.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-09-03|Turbidity|Surface|Field|2009-05-14|2009-05-14|1|1.5|1.5|1.5|1.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E4-A-09-06|Turbidity|Surface|Field|2009-09-09|2009-09-09|1|3.2|3.2|3.2|3.2|
